Datetime,_id,Datetime,Date,Settlement_period,Capacity,Wind_Forecast,ForecastDatetime
2024-10-26 22:30:00,221,2024-10-26T22:30:00,2024-10-26,48,21347,14854,2024-10-22T08:00:19
2024-10-26 23:00:00,222,2024-10-26T23:00:00,2024-10-27,1,21347,14797,2024-10-22T08:00:19
2024-10-26 23:30:00,223,2024-10-26T23:30:00,2024-10-27,2,21347,14737,2024-10-22T08:00:19
2024-10-27 00:00:00,224,2024-10-27T00:00:00,2024-10-27,3,21347,14704,2024-10-22T08:00:19
2024-10-27 00:30:00,225,2024-10-27T00:30:00,2024-10-27,4,21347,14698,2024-10-22T08:00:19
2024-10-27 01:00:00,226,2024-10-27T01:00:00,2024-10-27,5,21347,14692,2024-10-22T08:00:19
2024-10-27 01:30:00,227,2024-10-27T01:30:00,2024-10-27,6,21347,14684,2024-10-22T08:00:19
2024-10-27 02:00:00,228,2024-10-27T02:00:00,2024-10-27,7,21347,14676,2024-10-22T08:00:19
2024-10-27 02:30:00,229,2024-10-27T02:30:00,2024-10-27,8,21347,14667,2024-10-22T08:00:19
2024-10-27 03:00:00,230,2024-10-27T03:00:00,2024-10-27,9,21347,14690,2024-10-22T08:00:19
2024-10-27 03:30:00,231,2024-10-27T03:30:00,2024-10-27,10,21347,14744,2024-10-22T08:00:19
2024-10-27 04:00:00,232,2024-10-27T04:00:00,2024-10-27,11,21347,14797,2024-10-22T08:00:19
2024-10-27 04:30:00,233,2024-10-27T04:30:00,2024-10-27,12,21347,14848,2024-10-22T08:00:19
2024-10-27 05:00:00,234,2024-10-27T05:00:00,2024-10-27,13,21347,14897,2024-10-22T08:00:19
2024-10-27 05:30:00,235,2024-10-27T05:30:00,2024-10-27,14,21347,14945,2024-10-22T08:00:19
2024-10-27 06:00:00,236,2024-10-27T06:00:00,2024-10-27,15,21347,15009,2024-10-22T08:00:19
2024-10-27 06:30:00,237,2024-10-27T06:30:00,2024-10-27,16,21347,15091,2024-10-22T08:00:19
2024-10-27 07:00:00,238,2024-10-27T07:00:00,2024-10-27,17,21347,15169,2024-10-22T08:00:19
2024-10-27 07:30:00,239,2024-10-27T07:30:00,2024-10-27,18,21347,15245,2024-10-22T08:00:19
2024-10-27 08:00:00,240,2024-10-27T08:00:00,2024-10-27,19,21347,15317,2024-10-22T08:00:19
2024-10-27 08:30:00,241,2024-10-27T08:30:00,2024-10-27,20,21347,15386,2024-10-22T08:00:19
2024-10-27 09:00:00,242,2024-10-27T09:00:00,2024-10-27,21,21347,15489,2024-10-22T08:00:19
2024-10-27 09:30:00,243,2024-10-27T09:30:00,2024-10-27,22,21347,15627,2024-10-22T08:00:19
2024-10-27 10:00:00,244,2024-10-27T10:00:00,2024-10-27,23,21347,15759,2024-10-22T08:00:19
2024-10-27 10:30:00,245,2024-10-27T10:30:00,2024-10-27,24,21347,15888,2024-10-22T08:00:19
2024-10-27 11:00:00,246,2024-10-27T11:00:00,2024-10-27,25,21347,16011,2024-10-22T08:00:19
